,u,v,key,osmid,oneway,length,geometry,name,highway,maxspeed,lanes,tunnel,service,landuse,width,access,bridge,area,ref,junction
49,4702863510,6791669639,1,476843587,False,279.121,"LINESTRING (103.9028635 1.4056463, 103.9026484 1.4052669, 103.9026459 1.4052382, 103.9026605 1.4052173, 103.9036538 1.404721, 103.903728 1.4046957, 103.903783 1.4047038, 103.9038688 1.4047319, 103.9039211 1.4047869, 103.9040552 1.4050229, 103.9042054 1.4053259)",,footway,,,,,,,,,,,
50,4702863522,4702863510,0,476843587,False,26.443,"LINESTRING (103.9029779 1.4058548, 103.9028635 1.4056463)",,footway,,,,,,,,,,,
51,373096623,2274880832,0,75138967,True,32.476,"LINESTRING (103.909135 1.4009476, 103.9093751 1.4007812)",Punggol Central,tertiary,60,3,,,,,,,,,
52,373096623,368898713,0,75138968,True,15.644,"LINESTRING (103.909135 1.4009476, 103.9090579 1.4008299)",Edgefield Plains,residential,40,,,,,,,,,,
53,373096628,368899634,0,74662287,True,13.263,"LINESTRING (103.9063671 1.4028932, 103.9063242 1.4027819)",Punggol Road,secondary,60,3,,,,,,,,,
54,373096628,2274882386,0,582412256,True,28.841,"LINESTRING (103.9063671 1.4028932, 103.9065893 1.4027593)",Punggol Central,tertiary,60,3,,,,,,,,,
55,373096632,373096628,0,74962084,True,15.298,"LINESTRING (103.9062514 1.4029677, 103.9063671 1.4028932)",Punggol Central,tertiary,60,4,,,,,,,,,
56,373096632,1167575172,0,582412258,True,49.596,"LINESTRING (103.9062514 1.4029677, 103.9064076 1.4033855)",Punggol Road,secondary,60,3,,,,,,,,,
57,6589382845,6791669639,0,476843584,False,67.10300000000001,"LINESTRING (103.9045437 1.4057547, 103.9044844 1.4057737, 103.9044676 1.4057757, 103.9044518 1.4057676, 103.9043033 1.4055119, 103.9042473 1.405407, 103.9042215 1.405346, 103.9042054 1.4053259)",,footway,,,,,,,,,,,
58,6589382845,2274884761,0,"[701649041, 701649042, 701649043, 620219323]",True,162.05599999999998,"LINESTRING (103.9045437 1.4057547, 103.9049453 1.4064609, 103.9050044 1.4065647, 103.9051616 1.4068543, 103.905242 1.4070332)",Punggol Place,residential,40,"['2', '3']",,,,,,,,,
59,4003659964,4002523403,0,"[397579049, 512918107, 620537701]",True,98.49199999999999,"LINESTRING (103.8954631 1.4018947, 103.8954398 1.4019509, 103.8954022 1.4019971, 103.8953473 1.4020127, 103.8951463 1.4020465, 103.8946471 1.4021207)",Sumang Lane,residential,50,"['1', '2']",,,,,,,,,
60,4003659964,4004973751,0,397719194,False,16.395,"LINESTRING (103.8954631 1.4018947, 103.895412 1.4018672, 103.8953323 1.4018266)",,service,,2,,driveway,,,,,,,
61,373096643,368899633,0,74953808,True,14.305,"LINESTRING (103.9039067 1.4044437, 103.9038354 1.4043366)",Punggol Place,residential,50,3,,,,,,,,,
62,373096643,4427352391,0,445282963,True,25.406,"LINESTRING (103.9039067 1.4044437, 103.904112 1.4043433)",Punggol Central,tertiary,60,3,,,,,,,,,
63,373096660,1167567948,0,500373597,True,14.869,"LINESTRING (103.900832 1.4061432, 103.9009545 1.4060895)",Punggol Central,tertiary,60,,,,,,,,,,
64,373096660,1167544116,0,582412261,True,33.317,"LINESTRING (103.900832 1.4061432, 103.9009379 1.4064235)",Punggol Walk,residential,50,2,,,,,,,,,
65,5270601985,4459074813,0,"[638254000, 627983196]",True,72.608,"LINESTRING (103.9066912 1.3892623, 103.9066074 1.3891276, 103.9062846 1.3887531)",Rivervale Drive,tertiary,50,"['4', '2']",,,,,,,,,
66,5270601987,242959983,0,464810765,False,5.474,"LINESTRING (103.9077116 1.3885479, 103.9077256 1.3885951)",,service,40,,,,,,,,,,
67,5270601987,6497953527,0,545321520,True,26.75,"LINESTRING (103.9077116 1.3885479, 103.9075466 1.3886393, 103.9075047 1.3886701)",Rivervale Crescent,residential,50,1,,,,,,,,,
68,5270601987,4598826834,0,546394422,False,12.607,"LINESTRING (103.9077116 1.3885479, 103.9076996 1.3885116, 103.9076607 1.3884473)",,service,40,2,,,,,,,,,
69,5270601995,6497953525,0,545321522,True,166.58499999999998,"LINESTRING (103.9092753 1.3891204, 103.9091858 1.3889916, 103.9091293 1.3889384, 103.9090622 1.3888892, 103.9087323 1.3886807, 103.9084577 1.388538, 103.9082791 1.3885014, 103.9080685 1.388482, 103.9079819 1.388493)",Rivervale Crescent,residential,50,1,,,,,,,,,
70,5270601995,5218373956,0,627915987,False,15.354,"LINESTRING (103.9092753 1.3891204, 103.9092991 1.3891022, 103.909374 1.3890242)",,service,,2,,,,,,,,,
71,5270601999,7103996992,0,760458755,True,6.173,"LINESTRING (103.9086333 1.3903685, 103.9086795 1.3903377)",Rivervale Crescent,residential,50,1,,,,,,,,,
72,5270601999,242958751,0,"[627917780, 545321524, 627064060, 627919526]",False,25.630000000000003,"LINESTRING (103.9086333 1.3903685, 103.908604 1.3903999, 103.9085647 1.3904467, 103.9085436 1.3904699, 103.9084823 1.3905426)",Rivervale Crescent,residential,50,2,,,,,,,,,
73,5270602004,5256276509,0,627320301,False,12.016,"LINESTRING (103.9073467 1.3916982, 103.907425 1.3916237)",Rivervale Crescent,residential,50,2,,,,,,,,,
74,5270602004,5270602006,0,627320303,True,51.335,"LINESTRING (103.9073467 1.3916982, 103.9073014 1.3917187, 103.9070254 1.3920246)",Rivervale Crescent,residential,50,1,,,,,,,,,
75,5270602006,5921905736,0,627320303,True,34.494,"LINESTRING (103.9070254 1.3920246, 103.9068122 1.39225)",Rivervale Crescent,residential,50,1,,,,,,,,,
76,5270602006,5270602006,0,117335023,False,770.431,"LINESTRING (103.9070254 1.3920246, 103.9079266 1.3910626, 103.9069503 1.3902314, 103.9067947 1.3906229, 103.9066123 1.3909446, 103.9055234 1.3921298, 103.9058613 1.3924999, 103.906033 1.3926071, 103.9062368 1.3926393, 103.9066298 1.3924265, 103.9067518 1.3923604, 103.9070254 1.3920246)",Rivervale Green,,,,,,residential,,,,,,
77,5270602006,5270602006,1,117335023,False,770.431,"LINESTRING (103.9070254 1.3920246, 103.9067518 1.3923604, 103.9066298 1.3924265, 103.9062368 1.3926393, 103.906033 1.3926071, 103.9058613 1.3924999, 103.9055234 1.3921298, 103.9066123 1.3909446, 103.9067947 1.3906229, 103.9069503 1.3902314, 103.9079266 1.3910626, 103.9070254 1.3920246)",Rivervale Green,,,,,,residential,,,,,,
78,369164641,3063313410,0,175840054,True,32.578,"LINESTRING (103.9014304 1.391069, 103.9013847 1.3913584)",Punggol Road,secondary,60,2,,,,,,,,,
79,369164641,369164647,0,175840059,True,13.039,"LINESTRING (103.9014304 1.391069, 103.9015477 1.391069)",Sengkang East Way,secondary,60,,,,,,,,,,
80,369164647,242950993,0,483239828,True,11.802,"LINESTRING (103.9015477 1.391069, 103.9015774 1.3909671)",Punggol Road,secondary,60,,,,,,,,,,
81,369164647,3063312998,0,617971370,True,30.297,"LINESTRING (103.9015477 1.391069, 103.9018202 1.3910639)",Sengkang East Way,secondary,60,2,,,,,,,,,
82,4604821890,1748996467,0,476138607,True,43.482,"LINESTRING (103.9000583 1.4110639, 103.8998795 1.4107161)",Punggol Way,secondary,60,4,,,,,,,,,
83,4604821890,6192558603,0,465523920,True,37.93600000000001,"LINESTRING (103.9000583 1.4110639, 103.9000395 1.4108949, 103.9000529 1.410777, 103.9000703 1.4107275)",,secondary_link,50,1,,,,,,,,,
84,4604821891,4005059032,0,476138608,True,87.944,"LINESTRING (103.8996931 1.4103577, 103.8993367 1.4096516)",Punggol Way,secondary,60,3,,,,,,,,,
85,3782017412,137356374,0,374823442,False,30.889,"LINESTRING (103.915171 1.4157602, 103.915276 1.415503)",,,,,,,,,,,,,
86,3782017412,137356374,1,374824067,False,30.889,"LINESTRING (103.915171 1.4157602, 103.915276 1.415503)",,,,,,,,,,,,,
87,3782017412,1905780497,0,374824573,False,31.247,"LINESTRING (103.915171 1.4157602, 103.9150769 1.416025)",,,,,,,,,,,,,
88,3782017412,395048508,0,374823439,False,136.216,"LINESTRING (103.915171 1.4157602, 103.915214 1.4158413, 103.9151962 1.4159745, 103.915179 1.4161256, 103.9152242 1.4161842, 103.9153202 1.4161944, 103.9154275 1.4162009, 103.9154692 1.4162434, 103.9154447 1.4162944, 103.915315 1.4162944, 103.9152507 1.4162985, 103.9151303 1.4163729, 103.9150966 1.4164178, 103.9150359 1.4164239)",,,,,,,,,,,,,
89,4604821896,5218788701,0,"[534630361, 620236891]",True,139.313,"LINESTRING (103.8998682 1.4111178, 103.9002076 1.4117478, 103.9004688 1.4122174)",Punggol Way,secondary,60,"['4', '3']",,,,,,,,,
90,4604821900,1167567993,0,582303292,True,37.307,"LINESTRING (103.8993976 1.4109642, 103.8996971 1.4108128)",Sumang Link,residential,50,3,,,,,,,,,
91,4604821900,6192558282,0,465523922,True,28.783,"LINESTRING (103.8993976 1.4109642, 103.8995894 1.4109625, 103.899656 1.4109708)",,secondary_link,50,1,,,,,,,,,
92,4604821901,4604820870,0,"[721661466, 387265171, 620225567]",True,125.033,"LINESTRING (103.8993986 1.4108386, 103.8989671 1.4110225, 103.8985983 1.4111794, 103.8983677 1.411288)",Sumang Link,residential,50,"['2', '3']",,,,,,,,,
93,4604821907,1167568001,0,166522987,True,38.07,"LINESTRING (103.8994801 1.4104325, 103.8996556 1.4107265)",Punggol Way,secondary,60,4,,,,,,,,,
94,4604821907,4604821901,0,465523923,True,48.111999999999995,"LINESTRING (103.8994801 1.4104325, 103.8994935 1.4105455, 103.8994955 1.4106152, 103.8994821 1.4106923, 103.8994647 1.4107506, 103.8994298 1.4107989, 103.8993986 1.4108386)",,secondary_link,50,1,,,,,,,,,
95,3782017423,1841634987,0,298495247,False,26.98,"LINESTRING (103.9150262 1.4163556, 103.9150497 1.4161141)",,,,,,,,,,,,,
96,3782017423,1841634987,1,374823440,False,26.98,"LINESTRING (103.9150262 1.4163556, 103.9150497 1.4161141)",,,,,,,,,,,,,
97,3782017423,395048508,0,298495247,False,7.671,"LINESTRING (103.9150262 1.4163556, 103.9150359 1.4164239)",,,,,,,,,,,,,
98,3782017423,395048508,1,374823440,False,7.671,"LINESTRING (103.9150262 1.4163556, 103.9150359 1.4164239)",,,,,,,,,,,,,
99,5661524382,5647159583,0,180551414,False,9.624,"LINESTRING (103.9198256 1.3927289, 103.919878 1.3927978)",,,,,,,,,,,,,
100,5661524382,5647159572,0,180551414,False,21.574,"LINESTRING (103.9198256 1.3927289, 103.9196498 1.3928111)",,,,,,,,,,,,,
101,5661524382,5647159572,1,257525895,False,21.574,"LINESTRING (103.9198256 1.3927289, 103.9196498 1.3928111)",,,,,,,meadow,,,,,,
102,5661524382,1841111382,0,257525895,False,20.287,"LINESTRING (103.9198256 1.3927289, 103.9199361 1.3928741)",,,,,,,meadow,,,,,,
103,369164759,242950993,0,160443487,True,39.443,"LINESTRING (103.9019322 1.3909628, 103.9015774 1.3909671)",Sengkang East Way,secondary,60,3,,,,,,,,,
104,369164759,3063308874,0,302094717,True,51.333,"LINESTRING (103.9019322 1.3909628, 103.9018384 1.3909051, 103.9017708 1.3908303, 103.9017153 1.3907562, 103.9016569 1.3906092)",,secondary_link,50,1,,,,,,,,,
105,368902639,373096632,0,74662283,True,13.794,"LINESTRING (103.9062096 1.4028509, 103.9062514 1.4029677)",Punggol Road,secondary,60,3,,,,,,,,,
106,368902639,2274882621,0,582412253,True,33.778,"LINESTRING (103.9062096 1.4028509, 103.9059567 1.4030193)",Punggol Central,tertiary,60,3,,,,,,,,,
107,373096980,395048536,0,383281852,True,22.067,"LINESTRING (103.9108485 1.4035157, 103.9109694 1.4036731)",Edgefield Plains,residential,40,,,,,,,,,,
108,373096980,2274883199,0,635691794,True,24.623,"LINESTRING (103.9108485 1.4035157, 103.9106667 1.4036422)",Punggol Drive,residential,50,2,,,,,,,,,
109,373096988,2274881206,0,476166952,True,33.858,"LINESTRING (103.9090336 1.4010187, 103.9092274 1.4012536)",Edgefield Plains,residential,40,2,,,,,,,,,
110,373096988,373096623,0,534638193,True,13.768,"LINESTRING (103.9090336 1.4010187, 103.909135 1.4009476)",Punggol Central,tertiary,60,,,,,,,,,,
111,373096990,373096988,0,75138965,True,15.65,"LINESTRING (103.908953 1.4009033, 103.9090336 1.4010187)",Edgefield Plains,residential,40,,,,,,,,,,
112,373096990,2274881112,0,75138966,True,28.304,"LINESTRING (103.908953 1.4009033, 103.9087462 1.4010518)",Punggol Central,tertiary,60,3,,,,,,,,,
113,368902719,411679990,0,174886184,True,19.349,"LINESTRING (103.9049553 1.39991, 103.9050242 1.4000698)",Punggol Road,secondary,60,,,,,,,,,,
114,368902719,4427352178,0,582412285,True,39.326,"LINESTRING (103.9049553 1.39991, 103.9046394 1.4000692)",Punggol Field,residential,50,2,,,,,,,,,
115,5925962396,242958495,0,627719054,False,90.891,"LINESTRING (103.9039935 1.3921266, 103.9039835 1.3921383, 103.9039747 1.3921628, 103.9039479 1.3922292, 103.9039466 1.392266, 103.9039795 1.3923371, 103.9040472 1.3924256, 103.9043072 1.3928265)",,service,,2,,,,,,,,,
