,y,x,osmid,highway,ref,geometry
242952212,1.3918212,103.8978996,242952212,traffic_signals,,POINT (103.8978996 1.3918212)
4598826796,1.394186,103.8902506,4598826796,,,POINT (103.8902506 1.394186)
6680758295,1.4162834,103.9151056,6680758295,,,POINT (103.9151056 1.4162834)
6680758296,1.4162013,103.9151301,6680758296,,,POINT (103.9151301 1.4162013)
4602349596,1.3992994,103.9114242,4602349596,,,POINT (103.9114242 1.3992994)
4602349597,1.4032957,103.909339,4602349597,,,POINT (103.909339 1.4032957)
4602349598,1.4026825,103.9102508,4602349598,,,POINT (103.9102508 1.4026825)
242952222,1.3922607,103.8966823,242952222,,,POINT (103.8966823 1.3922607)
4602349600,1.4025697,103.910291,4602349600,,,POINT (103.910291 1.4025697)
4602349602,1.4014352,103.9096761,4602349602,,,POINT (103.9096761 1.4014352)
486909987,1.3979735,103.8826902,486909987,,,POINT (103.8826902 1.3979735)
4715317285,1.3861107,103.9019193,4715317285,,,POINT (103.9019193 1.3861107)
4602349606,1.4008,103.9103026,4602349606,,,POINT (103.9103026 1.4008)
4602349607,1.4003442,103.9099745,4602349607,,,POINT (103.9099745 1.4003442)
6728230954,1.3857037,103.884649,6728230954,traffic_signals,,POINT (103.884649 1.3857037)
4602349611,1.3976248,103.9100478,4602349611,,,POINT (103.9100478 1.3976248)
4602349612,1.3963621,103.9116396,4602349612,,,POINT (103.9116396 1.3963621)
4602349613,1.3958377,103.9093544,4602349613,,,POINT (103.9093544 1.3958377)
4602349614,1.3962145,103.9096382,4602349614,,,POINT (103.9096382 1.3962145)
6728230955,1.385515,103.8846859,6728230955,traffic_signals,,POINT (103.8846859 1.385515)
5847746608,1.3938693,103.8955546,5847746608,,,POINT (103.8955546 1.3938693)
5930508552,1.3934682,103.8911427,5930508552,,,POINT (103.8911427 1.3934682)
6728230958,1.3856195,103.8845726,6728230958,traffic_signals,,POINT (103.8845726 1.3856195)
5847746611,1.3937033,103.8955095,5847746611,,,POINT (103.8955095 1.3937033)
5847746612,1.3937999,103.8955551,5847746612,,,POINT (103.8955551 1.3937999)
5847746613,1.3937831,103.8956033,5847746613,crossing,,POINT (103.8956033 1.3937831)
5847746614,1.3937508,103.8956923,5847746614,,,POINT (103.8956923 1.3937508)
5847746617,1.3932216,103.8944931,5847746617,crossing,,POINT (103.8944931 1.3932216)
5218396220,1.3936573,103.9097085,5218396220,,,POINT (103.9097085 1.3936573)
369150014,1.3945946,103.8874306,369150014,traffic_signals,,POINT (103.8874306 1.3945946)
1754662975,1.4093406,103.8965681,1754662975,,,POINT (103.8965681 1.4093406)
6543124543,1.4053828,103.9022239,6543124543,,,POINT (103.9022239 1.4053828)
4005070910,1.4089118,103.8969662,4005070910,,,POINT (103.8969662 1.4089118)
368937029,1.4195508,103.9096659,368937029,,,POINT (103.9096659 1.4195508)
377645129,1.3829354,103.901797,377645129,,,POINT (103.901797 1.3829354)
242952267,1.3932743,103.8937054,242952267,traffic_signals,,POINT (103.8937054 1.3932743)
368937035,1.4187444,103.9083146,368937035,,,POINT (103.9083146 1.4187444)
368937039,1.4197347,103.9089657,368937039,,,POINT (103.9089657 1.4197347)
3058329687,1.4033552,103.9134557,3058329687,,,POINT (103.9134557 1.4033552)
4954875992,1.3951949,103.9218873,4954875992,,,POINT (103.9218873 1.3951949)
369166424,1.4063536,103.8974777,369166424,traffic_signals,,POINT (103.8974777 1.4063536)
6586130705,1.3926038,103.8960032,6586130705,,,POINT (103.8960032 1.3926038)
369469542,1.3946551,103.9002053,369469542,,,POINT (103.9002053 1.3946551)
5083408487,1.4055879,103.9022975,5083408487,,,POINT (103.9022975 1.4055879)
4427352168,1.3995537,103.9049717,4427352168,,,POINT (103.9049717 1.3995537)
4427352169,1.399602,103.9048079,4427352169,,,POINT (103.9048079 1.399602)
369469546,1.392652,103.9047632,369469546,,,POINT (103.9047632 1.392652)
5083408488,1.4043534,103.9020863,5083408488,,,POINT (103.9020863 1.4043534)
5083408489,1.4049997,103.902432,5083408489,,,POINT (103.902432 1.4049997)
5921941613,1.3924006,103.9067473,5921941613,,,POINT (103.9067473 1.3924006)
5921941614,1.3923667,103.9067128,5921941614,,,POINT (103.9067128 1.3923667)
369174639,1.3961264,103.9040452,369174639,,,POINT (103.9040452 1.3961264)
4427352175,1.3998295,103.9054033,4427352175,,,POINT (103.9054033 1.3998295)
1167575152,1.4032213,103.9059194,1167575152,,,POINT (103.9059194 1.4032213)
4427352178,1.4000692,103.9046394,4427352178,,,POINT (103.9046394 1.4000692)
3058313330,1.4061901,103.9076327,3058313330,crossing,,POINT (103.9076327 1.4061901)
4427352180,1.4002649,103.9052784,4427352180,,,POINT (103.9052784 1.4002649)
3049056367,1.4057396,103.9066068,3049056367,,,POINT (103.9066068 1.4057396)
4427352182,1.4002637,103.9046828,4427352182,,,POINT (103.9046828 1.4002637)
3049056368,1.4059856,103.9067345,3049056368,,,POINT (103.9067345 1.4059856)
4427352184,1.400437,103.9051848,4427352184,,,POINT (103.9051848 1.400437)
4427352185,1.4040922,103.9036825,4427352185,,,POINT (103.9036825 1.4040922)
6572632186,1.4006401,103.9118658,6572632186,,,POINT (103.9118658 1.4006401)
6572632187,1.4007668,103.9119431,6572632187,,,POINT (103.9119431 1.4007668)
4427352188,1.4041728,103.9041064,4427352188,,,POINT (103.9041064 1.4041728)
4427352186,1.4041337,103.9036107,4427352186,,,POINT (103.9036107 1.4041337)
6572632190,1.4007185,103.9111409,6572632190,,,POINT (103.9111409 1.4007185)
3133450358,1.3895002,103.8981007,3133450358,,,POINT (103.8981007 1.3895002)
3133450363,1.390199,103.8994928,3133450363,,,POINT (103.8994928 1.390199)
3849480323,1.3991433,103.9301255,3849480323,,,POINT (103.9301255 1.3991433)
1167575172,1.4033855,103.9064076,1167575172,,,POINT (103.9064076 1.4033855)
3133466758,1.3855568,103.8975437,3133466758,,,POINT (103.8975437 1.3855568)
369166473,1.4033917,103.8967028,369166473,traffic_signals,,POINT (103.8967028 1.4033917)
3849480337,1.4159427,103.9002756,3849480337,crossing,,POINT (103.9002756 1.4159427)
369141915,1.3942818,103.8905223,369141915,traffic_signals,,POINT (103.8905223 1.3942818)
369141917,1.3934247,103.8936212,369141917,traffic_signals,,POINT (103.8936212 1.3934247)
3849480352,1.4105527,103.9042849,3849480352,crossing,,POINT (103.9042849 1.4105527)
2414831788,1.3824472,103.8933918,2414831788,,,POINT (103.8933918 1.3824472)
5278410926,1.418622,103.9063845,5278410926,,,POINT (103.9063845 1.418622)
1754687664,1.3977834,103.9214104,1754687664,,,POINT (103.9214104 1.3977834)
3054889141,1.404685,103.9211751,3054889141,,,POINT (103.9211751 1.404685)
