,osmid,geometry,x,y,highway,ref
369165261,369165261,POINT (103.9061196 1.388586799999989),103.9061196,1.3885868,traffic_signals,
4433708155,4433708155,POINT (103.8971028 1.391539800000004),103.8971028,1.3915398,,
4433708160,4433708160,POINT (103.8975212 1.391094699999999),103.8975212,1.3910947,,
4433708161,4433708161,POINT (103.8970086 1.39157509999998),103.8970086,1.3915751,,
4433708162,4433708162,POINT (103.8968422 1.391633999999987),103.8968422,1.391634,traffic_signals,
4433708165,4433708165,POINT (103.8975647 1.391221599999984),103.8975647,1.3912216,,
4433708166,4433708166,POINT (103.8977071 1.391169199999993),103.8977071,1.3911692,traffic_signals,
4433708168,4433708168,POINT (103.8976622 1.39104479999999),103.8976622,1.3910448,traffic_signals,
5177279650,5177279650,POINT (103.9038204 1.402646899999989),103.9038204,1.4026469,,
5177279656,5177279656,POINT (103.9072297 1.402310799999992),103.9072297,1.4023108,,
5177279657,5177279657,POINT (103.9073076 1.402423199999985),103.9073076,1.4024232,,
5177279658,5177279658,POINT (103.9072441 1.402468699999991),103.9072441,1.4024687,,
5177279659,5177279659,POINT (103.9071575 1.402361299999994),103.9071575,1.4023613,,
5177279660,5177279660,POINT (103.907607 1.402208899999994),103.907607,1.4022089,,
5177279668,5177279668,POINT (103.9086397 1.403674099999989),103.9086397,1.4036741,,
5177279669,5177279669,POINT (103.908157 1.402880199999981),103.908157,1.4028802,,
5177279670,5177279670,POINT (103.9068835 1.403778499999994),103.9068835,1.4037785,,
5177279672,5177279672,POINT (103.9073154 1.4046234),103.9073154,1.4046234,,
5177279697,5177279697,POINT (103.8991167 1.404785399999986),103.8991167,1.4047854,,
5177279707,5177279707,POINT (103.8991109 1.405803599999974),103.8991109,1.4058036,,
5177279709,5177279709,POINT (103.8992239 1.40614099999998),103.8992239,1.406141,,
2019165453,2019165453,POINT (103.9024009 1.40417749999999),103.9024009,1.4041775,,
2019165454,2019165454,POINT (103.9021154 1.404336199999992),103.9021154,1.4043362,,
3782025044,3782025044,POINT (103.9239791 1.410565299999996),103.9239791,1.4105653,,
3782025045,3782025045,POINT (103.9237648 1.410693899999993),103.9237648,1.4106939,,
3782025046,3782025046,POINT (103.9237096 1.410755099999983),103.9237096,1.4107551,,
3782025047,3782025047,POINT (103.923677 1.410842899999996),103.923677,1.4108429,,
4003661269,4003661269,POINT (103.8989301 1.413131399999985),103.8989301,1.4131314,,
4004972061,4004972061,POINT (103.8908959 1.401233099999999),103.8908959,1.4012331,,
4004972062,4004972062,POINT (103.8904411 1.401272799999996),103.8904411,1.4012728,,
5006624292,5006624292,POINT (103.9239186 1.393643799999998),103.9239186,1.3936438,,
4004972070,4004972070,POINT (103.8950046 1.40144409999999),103.8950046,1.4014441,,
4004972083,4004972083,POINT (103.8935581 1.401701399999993),103.8935581,1.4017014,,
4004972127,4004972127,POINT (103.8989282 1.399901299999982),103.8989282,1.3999013,,
4004972128,4004972128,POINT (103.8983845 1.399906999999997),103.8983845,1.399907,,
4004972129,4004972129,POINT (103.8983966 1.399941799999986),103.8983966,1.3999418,,
4004972131,4004972131,POINT (103.8996128 1.400569599999996),103.8996128,1.4005696,,
4004972133,4004972133,POINT (103.8946475 1.400826799999993),103.8946475,1.4008268,,
4004972141,4004972141,POINT (103.8946423 1.400911799999993),103.8946423,1.4009118,,
4004972142,4004972142,POINT (103.8939425 1.400878599999984),103.8939425,1.4008786,,
4004972143,4004972143,POINT (103.8937659 1.400906699999979),103.8937659,1.4009067,,
4004972144,4004972144,POINT (103.8939472 1.400962099999991),103.8939472,1.4009621,,
4004972145,4004972145,POINT (103.898082 1.400992599999997),103.898082,1.4009926,,
4004972147,4004972147,POINT (103.8981428 1.401180199999986),103.8981428,1.4011802,,
5678944660,5678944660,POINT (103.8988657 1.403759099999995),103.8988657,1.4037591,,
5177295493,5177295493,POINT (103.9002556 1.393494299999989),103.9002556,1.3934943,,
5678944683,5678944683,POINT (103.8991671 1.403845400000002),103.8991671,1.4038454,,
5256644347,5256644347,POINT (103.9236903 1.386952799999989),103.9236903,1.3869528,,
5256644348,5256644348,POINT (103.923356 1.38695889999999),103.923356,1.3869589,,
5282596670,5282596670,POINT (103.8917147 1.38822029999999),103.8917147,1.3882203,,
5361698709,5361698709,POINT (103.8981317 1.401143899999989),103.8981317,1.4011439,,
5361698715,5361698715,POINT (103.8989801 1.401265899999991),103.8989801,1.4012659,,
5361698718,5361698718,POINT (103.8983925 1.401049799999995),103.8983925,1.4010498,,
4598898420,4598898420,POINT (103.9036578 1.393324899999976),103.9036578,1.3933249,,
1754662975,1754662975,POINT (103.8965681 1.409340599999993),103.8965681,1.4093406,,
369166424,369166424,POINT (103.8974777 1.406353599999988),103.8974777,1.4063536,traffic_signals,
4427352168,4427352168,POINT (103.9049717 1.399553699999999),103.9049717,1.3995537,,
4427352169,4427352169,POINT (103.9048079 1.399601999999999),103.9048079,1.399602,,
4427352175,4427352175,POINT (103.9054033 1.399829499999988),103.9054033,1.3998295,,
4427352178,4427352178,POINT (103.9046394 1.400069199999997),103.9046394,1.4000692,,
4427352180,4427352180,POINT (103.9052784 1.400264899999988),103.9052784,1.4002649,,
4427352182,4427352182,POINT (103.9046828 1.400263699999976),103.9046828,1.4002637,,
4427352184,4427352184,POINT (103.9051848 1.400436999999997),103.9051848,1.400437,,
4427352185,4427352185,POINT (103.9036825 1.404092199999986),103.9036825,1.4040922,,
4427352186,4427352186,POINT (103.9036107 1.404133700000001),103.9036107,1.4041337,,
4427352188,4427352188,POINT (103.9041064 1.404172799999986),103.9041064,1.4041728,,
369166473,369166473,POINT (103.8967028 1.403391699999996),103.8967028,1.4033917,traffic_signals,
3782215876,3782215876,POINT (103.9107805 1.421421699999976),103.9107805,1.4214217,,
3782215878,3782215878,POINT (103.9106381 1.421448599999991),103.9106381,1.4214486,,
369166625,369166625,POINT (103.896094 1.400469199999997),103.896094,1.4004692,traffic_signals,
