,u,v,key,osmid,lanes,highway,oneway,length,geometry,service,name,maxspeed,width,bridge,tunnel,access,ref,junction
1341,5177230411,4598826805,0,"[650253228, 480477676, 174886207]","['5', '3', '4']",secondary,True,158.413,"LINESTRING (103.8922643 1.3937478, 103.8922337 1.3937593, 103.891813 1.3939048, 103.8913769 1.3940375, 103.8911353 1.3940911, 103.890893 1.3941188)",,Sengkang East Way,60,,,,,,
1342,5177230410,5930508574,0,628180900,2,service,False,29.43,"LINESTRING (103.8921656 1.3931902, 103.8919157 1.3932776)",,,,,,,,,
1343,5177230410,370747007,0,"[628010800, 737541594, 737541595, 737541596]",2,service,False,321.41200000000003,"LINESTRING (103.8921656 1.3931902, 103.8929061 1.3929434, 103.8929434 1.3929455, 103.8929676 1.3929683, 103.8930165 1.3931057, 103.8930518 1.3932047, 103.8930655 1.3932432, 103.8930816 1.3932566, 103.8931406 1.3932432, 103.8932009 1.3932002, 103.8932519 1.3930849, 103.8932546 1.3929334, 103.8932143 1.3928074, 103.8931808 1.3927055, 103.8930683 1.3923865, 103.892945 1.3920245, 103.8929108 1.3919856, 103.8928524 1.3919474, 103.8927331 1.3919105, 103.8926253 1.391919)",,,,,,yes,,,
1344,5256291403,5928411168,0,"[627983388, 533682303]",2,service,False,155.059,"LINESTRING (103.8943054 1.38946, 103.8945253 1.3893876, 103.8945414 1.3893581, 103.8945441 1.3893299, 103.8945052 1.3891905, 103.8944858 1.3891738, 103.8944425 1.3891473, 103.8941538 1.3890793, 103.8941213 1.3890793, 103.8940984 1.3890798, 103.8940735 1.3890874, 103.8936 1.3892548)",,,,,,,,,
1345,1913644906,1913644886,0,180909703,,footway,False,66.928,"LINESTRING (103.88402 1.4009054, 103.8840308 1.4003036)",,,,,,,,,
1346,1913644906,1913644900,0,180909720,,path,False,54.883,"LINESTRING (103.88402 1.4009054, 103.8838163 1.4008306, 103.8836348 1.4006974, 103.8835872 1.4006776)",,,,,,,,,
1347,1913644906,1913644905,0,180909720,,path,False,40.843,"LINESTRING (103.88402 1.4009054, 103.8841155 1.4009175, 103.8842161 1.4009156, 103.8843811 1.4008725)",,,,,,,,,
1348,5917631565,5045711310,0,626832117,2,service,False,17.28,"LINESTRING (103.8916721 1.3853091, 103.8916154 1.3851644)",parking_aisle,,,,,,,,
1349,5177230416,5177230417,0,533682301,,service,False,94.118,"LINESTRING (103.8965129 1.3909776, 103.8957112 1.3912498)",,,,,,,,,
1350,5177230416,1855321503,0,627922763,2,residential,True,44.598,"LINESTRING (103.8965129 1.3909776, 103.8966433 1.3913569)",,Sengkang Square,50,,,,,,
1351,5177230417,5177230416,0,533682301,,service,False,94.118,"LINESTRING (103.8957112 1.3912498, 103.8965129 1.3909776)",,,,,,,,,
1352,5256291409,5256291410,0,543740369,2,service,False,18.601,"LINESTRING (103.8936102 1.3910046, 103.8935576 1.3908458)",,,,,,,,,
1353,5256291409,3063313160,0,627686929,3,residential,True,38.386,"LINESTRING (103.8936102 1.3910046, 103.8932835 1.3911164)",,Sengkang Square,50,,,,,,
1354,5256291410,5256291409,0,543740369,2,service,False,18.601,"LINESTRING (103.8935576 1.3908458, 103.8936102 1.3910046)",,,,,,,,,
1355,5256291410,5256291411,0,"[627986244, 627986246]",2,service,False,146.381,"LINESTRING (103.8935576 1.3908458, 103.8937233 1.3907953, 103.8946943 1.3904628, 103.8947318 1.3904306, 103.8947479 1.3903985, 103.8947627 1.3903703)",,,,,,,,,
1356,5256291410,5177230429,0,"[533682304, 533682306, 627986245, 543740371, 628004152, 596752477]",2,service,False,311.58899999999994,"LINESTRING (103.8935576 1.3908458, 103.8933995 1.3909012, 103.8932875 1.390928, 103.8932365 1.390928, 103.8931252 1.390869, 103.8931024 1.3908422, 103.8930474 1.3906518, 103.8930541 1.3906304, 103.8930823 1.3905929, 103.8933621 1.3904951, 103.8932234 1.3901395, 103.8931143 1.3897749, 103.8930679 1.3897416, 103.8930308 1.3897291, 103.8929757 1.3897388, 103.8929643 1.3897301, 103.8929549 1.3897147, 103.8929214 1.3895947, 103.8929153 1.3895478, 103.8929321 1.3895042, 103.8929522 1.3894908, 103.8932177 1.3893956, 103.8934737 1.3893032)",,,,,,,,,
1357,5177230418,5177230423,0,627970101,2,service,False,40.13,"LINESTRING (103.8911393 1.3914899, 103.8907988 1.3916098)",driveway,,,,,,,,
1358,5177230418,5177230423,1,533682302,1,service,True,51.179,"LINESTRING (103.8911393 1.3914899, 103.8909477 1.391422, 103.890929 1.3914173, 103.8909104 1.3914243, 103.8908952 1.391436, 103.8907988 1.3916098)",driveway,,,,,,,,
1359,5177230418,5928088425,0,"[546165940, 627970102]",2,service,False,225.444,"LINESTRING (103.8911393 1.3914899, 103.8916301 1.3913172, 103.8916726 1.3913268, 103.8919621 1.392193, 103.8919541 1.3922375, 103.891485 1.3924256)",driveway,,,,,,,,
1360,5256291411,5256291410,0,"[627986244, 627986246]",2,service,False,146.381,"LINESTRING (103.8947627 1.3903703, 103.8947479 1.3903985, 103.8947318 1.3904306, 103.8946943 1.3904628, 103.8937233 1.3907953, 103.8935576 1.3908458)",,,,,,,,,
1361,5177230423,5177230418,0,627970101,2,service,False,40.13,"LINESTRING (103.8907988 1.3916098, 103.8911393 1.3914899)",driveway,,,,,,,,
1362,5177230423,370222638,0,"[627970105, 627945834]",2,service,False,73.504,"LINESTRING (103.8907988 1.3916098, 103.8905101 1.3917137, 103.8901751 1.3918293)",driveway,,,,,,,,
1363,5177230428,5177230429,0,533682305,2,service,False,15.766,"LINESTRING (103.8934262 1.3891696, 103.8934737 1.3893032)",,,,,,,,,
1364,5177230428,370709625,0,"[627937587, 627983390]","['3', '2']",tertiary,True,112.513,"LINESTRING (103.8934262 1.3891696, 103.893773 1.3890524, 103.894186 1.3889089, 103.8943852 1.3888462)",,Compassvale Drive,50,,,,,,
1365,5177230429,5177230428,0,533682305,2,service,False,15.766,"LINESTRING (103.8934737 1.3893032, 103.8934262 1.3891696)",,,,,,,,,
